,Open,High,Low,Close,Adj Close,Volume
2022-03-02 09:35:00+01:00,368.0,368.0,367.0,367.0,367.0,0.0
2022-03-02 09:40:00+01:00,365.5,366.5,365.5,366.5,366.5,11.0
2022-03-02 09:50:00+01:00,361.0,361.0,360.0,360.0,360.0,18.0
2022-03-02 09:55:00+01:00,360.0,363.5,360.0,363.5,363.5,137.0
2022-03-02 10:00:00+01:00,361.5,363.0,361.5,363.0,363.0,35.0
2022-03-02 10:05:00+01:00,363.5,364.5,363.5,364.5,364.5,9.0
2022-03-02 10:10:00+01:00,365.5,366.5,365.5,366.5,366.5,500.0
2022-03-02 10:15:00+01:00,365.5,365.5,364.5,364.5,364.5,18.0
2022-03-02 10:20:00+01:00,363.5,363.5,362.5,362.5,362.5,17.0
2022-03-02 10:30:00+01:00,363.5,363.5,363.0,363.0,363.0,24.0
2022-03-02 10:35:00+01:00,363.0,363.5,362.5,363.0,363.0,77.0
2022-03-02 10:40:00+01:00,363.0,363.0,363.0,363.0,363.0,50.0
2022-03-02 10:45:00+01:00,363.0,363.0,361.5,361.5,361.5,74.0
2022-03-02 10:50:00+01:00,361.5,363.0,361.5,361.5,361.5,276.0
2022-03-02 11:05:00+01:00,363.5,363.5,363.5,363.5,363.5,24.0
2022-03-02 11:30:00+01:00,365.0,365.0,364.5,364.5,364.5,41.0
2022-03-02 11:40:00+01:00,365.0,365.0,364.0,364.0,364.0,23.0
2022-03-02 11:55:00+01:00,363.5,363.5,363.5,363.5,363.5,3.0
2022-03-02 12:05:00+01:00,363.5,364.5,363.5,364.5,364.5,30.0
2022-03-02 12:10:00+01:00,364.5,364.5,364.5,364.5,364.5,6.0
2022-03-02 12:20:00+01:00,364.5,364.5,364.5,364.5,364.5,13.0
2022-03-02 12:25:00+01:00,365.5,365.5,364.0,364.0,364.0,20.0
2022-03-02 12:30:00+01:00,364.0,364.0,364.0,364.0,364.0,4.0
2022-03-02 12:35:00+01:00,363.5,363.5,363.5,363.5,363.5,11.0
2022-03-02 12:40:00+01:00,362.0,362.0,362.0,362.0,362.0,4.0
